yield,amine_mM,aldehyde_mM,isocyanide_mM,ptsa
-0.000390733932513,120.0,120.0,120.0,0.0219310344827586
0.0004053627461989,120.0,150.0,120.0,0.0219310344827586
0.0011106430744435,120.0,180.0,120.0,0.0219310344827586
0.0004053866192561,120.0,210.0,120.0,0.0219310344827586
0.0011117889399332,120.0,240.0,120.0,0.0219310344827586
0.0027623532250534,120.0,270.0,120.0,0.0219310344827586
0.0016816078091962,120.0,300.0,120.0,0.0219310344827586
0.0003309148917363,150.0,120.0,120.0,0.0219310344827586
-0.0004171734691943,180.0,120.0,120.0,0.0219310344827586
0.0002248074070888,180.0,180.0,120.0,0.0219310344827586
1.7090389758767918e-05,180.0,240.0,120.0,0.0219310344827586
-0.000978863794091,180.0,300.0,120.0,0.0219310344827586
-0.0002115248779728,210.0,120.0,120.0,0.0219310344827586
0.0007987832070576,240.0,120.0,120.0,0.0219310344827586
-0.0004019125595214,240.0,180.0,120.0,0.0219310344827586
2.861969859088124e-05,240.0,240.0,120.0,0.0219310344827586
-1.2232782304452935e-06,240.0,300.0,120.0,0.0219310344827586
0.0002670183862739,270.0,120.0,120.0,0.0219310344827586
0.0004930056990525,300.0,120.0,120.0,0.0219310344827586
7.339892240917124e-05,300.0,180.0,120.0,0.0219310344827586
0.0007121963489514,300.0,240.0,120.0,0.0219310344827586
9.019487167326356e-05,300.0,300.0,120.0,0.0219310344827586
-0.0008090151086506,120.0,120.0,150.0,0.0219310344827586
0.0006191685136259,120.0,150.0,150.0,0.0219310344827586
0.0007215276523027,120.0,180.0,150.0,0.0219310344827586
0.0011607842168321,120.0,210.0,150.0,0.0219310344827586
0.0008937804984016,120.0,240.0,150.0,0.0219310344827586
0.0038691218375994,120.0,270.0,150.0,0.0219310344827586
0.0045838965375109,120.0,300.0,150.0,0.0219310344827586
0.0004832020164616,150.0,120.0,150.0,0.0219310344827586
0.000472500092081,180.0,120.0,150.0,0.0219310344827586
0.0003437762588309,210.0,120.0,150.0,0.0219310344827586
-0.0001585460427953,240.0,120.0,150.0,0.0219310344827586
0.0002584043372928,270.0,120.0,150.0,0.0219310344827586
0.0002729923553728,300.0,120.0,150.0,0.0219310344827586
0.0017102623406314,120.0,120.0,180.0,0.0219310344827586
0.0002891666086923,120.0,150.0,180.0,0.0219310344827586
0.0015253926650343,120.0,180.0,180.0,0.0219310344827586
0.0026494423628018,120.0,210.0,180.0,0.0219310344827586
0.0019277374051661,120.0,240.0,180.0,0.0219310344827586
0.003513351618466,120.0,270.0,180.0,0.0219310344827586
0.0062251493549836,120.0,300.0,180.0,0.0219310344827586
0.0007125273232892,150.0,120.0,180.0,0.0219310344827586
0.000115332203804,180.0,120.0,180.0,0.0219310344827586
-4.228753216127308e-05,180.0,180.0,180.0,0.0219310344827586
0.0004031281435393,180.0,240.0,180.0,0.0219310344827586
0.0010935279339248,180.0,300.0,180.0,0.0219310344827586
0.0003610104660969,210.0,120.0,180.0,0.0219310344827586
0.0003586767214551,240.0,120.0,180.0,0.0219310344827586
-0.000321865738636,240.0,180.0,180.0,0.0219310344827586
-5.731480740475823e-05,240.0,240.0,180.0,0.0219310344827586
-0.0004979368256109,240.0,300.0,180.0,0.0219310344827586
0.000329676646057,270.0,120.0,180.0,0.0219310344827586
0.0001325962239589,300.0,120.0,180.0,0.0219310344827586
-0.0001147535820726,300.0,180.0,180.0,0.0219310344827586
-0.0004473905473104,300.0,240.0,180.0,0.0219310344827586
5.376933617743922e-05,300.0,300.0,180.0,0.0219310344827586
6.507586586488855e-05,120.0,120.0,210.0,0.0219310344827586
0.0013942994788841,120.0,150.0,210.0,0.0219310344827586
0.0020948285985077,120.0,180.0,210.0,0.0219310344827586
0.0055646220227008,120.0,210.0,210.0,0.0219310344827586
0.0081157469242028,120.0,240.0,210.0,0.0219310344827586
0.0056108070224239,120.0,270.0,210.0,0.0219310344827586
0.0074481726812349,120.0,300.0,210.0,0.0219310344827586
-0.0005023730474888,150.0,120.0,210.0,0.0219310344827586
-0.0007357585391311,180.0,120.0,210.0,0.0219310344827586
-0.000857165206104,210.0,120.0,210.0,0.0219310344827586
0.0001482589597108,240.0,120.0,210.0,0.0219310344827586
0.0002348319861735,270.0,120.0,210.0,0.0219310344827586
-0.0001037929021854,300.0,120.0,210.0,0.0219310344827586
-0.0011283375219589,120.0,120.0,240.0,0.0219310344827586
0.0004261368014102,120.0,150.0,240.0,0.0219310344827586
0.0007424462046441,120.0,180.0,240.0,0.0219310344827586
0.0021784312520904,120.0,210.0,240.0,0.0219310344827586
0.0076131234705598,120.0,240.0,240.0,0.0219310344827586
0.0077605622856944,120.0,270.0,240.0,0.0219310344827586
0.0087451499215481,120.0,300.0,240.0,0.0219310344827586
0.000106267987302,150.0,120.0,240.0,0.0219310344827586
0.0005608266563853,180.0,120.0,240.0,0.0219310344827586
-0.0003544658776591,180.0,180.0,240.0,0.0219310344827586
0.0014831890475282,180.0,240.0,240.0,0.0219310344827586
0.0023708760409937,180.0,300.0,240.0,0.0219310344827586
0.0005455404679422,210.0,120.0,240.0,0.0219310344827586
-0.0001367942699103,240.0,120.0,240.0,0.0219310344827586
-0.0006121249769421,240.0,180.0,240.0,0.0219310344827586
-0.0010360978320002,240.0,240.0,240.0,0.0219310344827586
0.0005666290820193,240.0,300.0,240.0,0.0219310344827586
0.0001559691253281,270.0,120.0,240.0,0.0219310344827586
-2.202541535060272e-05,300.0,120.0,240.0,0.0219310344827586
0.0003238937387267,300.0,180.0,240.0,0.0219310344827586
0.000293413515773,300.0,240.0,240.0,0.0219310344827586
0.0001040827124593,300.0,300.0,240.0,0.0219310344827586
0.0009533283603826,120.0,120.0,270.0,0.0219310344827586
0.0008988409004604,120.0,150.0,270.0,0.0219310344827586
0.0028770120422065,120.0,180.0,270.0,0.0219310344827586
0.0022952328676473,120.0,210.0,270.0,0.0219310344827586
0.0058784680008498,120.0,240.0,270.0,0.0219310344827586
0.002435820701329,120.0,270.0,270.0,0.0219310344827586
0.0094966456926667,120.0,300.0,270.0,0.0219310344827586
0.0004635511862598,150.0,120.0,270.0,0.0219310344827586
0.0005527158226834,180.0,120.0,270.0,0.0219310344827586
0.0005051256166347,210.0,120.0,270.0,0.0219310344827586
-0.0002607979208624,240.0,120.0,270.0,0.0219310344827586
0.0001845669943712,270.0,120.0,270.0,0.0219310344827586
-0.0002165471166561,300.0,120.0,270.0,0.0219310344827586
-0.001528796226332,120.0,120.0,300.0,0.0219310344827586
0.0013671533010669,120.0,150.0,300.0,0.0219310344827586
-0.0004729644475718,120.0,180.0,300.0,0.0219310344827586
-0.0007970737770359,120.0,210.0,300.0,0.0219310344827586
0.0061175681172052,120.0,240.0,300.0,0.0219310344827586
0.006818504405986,120.0,270.0,300.0,0.0219310344827586
0.0086250708991268,120.0,300.0,300.0,0.0219310344827586
-0.0023622667454888,150.0,120.0,300.0,0.0219310344827586
-0.0005036865503602,150.0,150.0,300.0,0.0219310344827586
0.0014354089656989,150.0,180.0,300.0,0.0219310344827586
-0.0023503092111432,150.0,210.0,300.0,0.0219310344827586
0.0017344092143177,150.0,240.0,300.0,0.0219310344827586
0.0087770201612107,150.0,270.0,300.0,0.0219310344827586
0.0059327423438581,150.0,300.0,300.0,0.0219310344827586
0.0006573442344919,180.0,120.0,300.0,0.0219310344827586
-0.0006424368728641,180.0,150.0,300.0,0.0219310344827586
0.0001967448055131,180.0,180.0,300.0,0.0219310344827586
0.0005756011366863,180.0,210.0,300.0,0.0219310344827586
0.0023287988212196,180.0,240.0,300.0,0.0219310344827586
0.0023666509673623,180.0,270.0,300.0,0.0219310344827586
0.0050160537529428,180.0,300.0,300.0,0.0219310344827586
3.5323555473037874e-05,210.0,120.0,300.0,0.0219310344827586
0.00098911022618,210.0,150.0,300.0,0.0219310344827586
-0.0001184320063805,210.0,180.0,300.0,0.0219310344827586
0.0005284745570742,210.0,210.0,300.0,0.0219310344827586
3.91579242135865e-05,210.0,240.0,300.0,0.0219310344827586
0.0008375158102479,210.0,270.0,300.0,0.0219310344827586
0.0027543897039365,210.0,300.0,300.0,0.0219310344827586
-0.0002379863251611,240.0,120.0,300.0,0.0219310344827586
-3.899528611223734e-05,240.0,150.0,300.0,0.0219310344827586
0.0006947396297469,240.0,180.0,300.0,0.0219310344827586
0.000612977604764,240.0,210.0,300.0,0.0219310344827586
-0.0010277997757631,240.0,240.0,300.0,0.0219310344827586
0.0001073840824689,240.0,270.0,300.0,0.0219310344827586
0.0013005957296414,240.0,300.0,300.0,0.0219310344827586
6.391576374397879e-05,270.0,120.0,300.0,0.0219310344827586
-0.000287003723524,270.0,150.0,300.0,0.0219310344827586
0.0001890214542801,270.0,180.0,300.0,0.0219310344827586
0.0002601597138818,270.0,210.0,300.0,0.0219310344827586
